Trip_Complexity,Linkmode,Count
1-2 Trips (Simple),Walking,"10,238"
1-2 Trips (Simple),Vehicle Driver,"26,751"
1-2 Trips (Simple),Tram,"1,042"
1-2 Trips (Simple),Train,"5,026"
1-2 Trips (Simple),Public Bus,"1,645"
3-4 Trips (Moderate),Walking,"10,013"
3-4 Trips (Moderate),Vehicle Driver,"32,186"
3-4 Trips (Moderate),Tram,785
3-4 Trips (Moderate),Train,"2,454"
3-4 Trips (Moderate),Public Bus,429
5+ Trips (Complex),Walking,"12,614"
5+ Trips (Complex),Vehicle Driver,"47,480"
5+ Trips (Complex),Tram,664
5+ Trips (Complex),Train,"1,278"
5+ Trips (Complex),Public Bus,157
