starthour,trippurp,Raw_Count
1,Accompany Someone,1
1,Buy Something,2
1,Change Mode,7
1,Education,1
1,Personal Business,4
1,Pick-up or Drop-off Someone,9
1,Recreational,2
1,Social,36
1,Work Related,15
2,Personal Business,4
2,Pick-up or Drop-off Someone,3
2,Social,22
2,Work Related,24
3,Personal Business,3
3,Pick-up or Deliver Something,1
3,Social,8
3,Work Related,15
4,Accompany Someone,1
4,Buy Something,6
4,Change Mode,21
4,Education,2
4,Other Purpose,7
4,Personal Business,16
4,Pick-up or Deliver Something,3
4,Pick-up or Drop-off Someone,21
4,Recreational,47
4,Social,11
4,Unknown Purpose,22
4,Work Related,344
5,Accompany Someone,20
5,Buy Something,55
5,Change Mode,19
5,Education,5
5,Other Purpose,6
5,Personal Business,60
5,Pick-up or Deliver Something,6
5,Pick-up or Drop-off Someone,78
5,Recreational,244
5,Social,41
5,Unknown Purpose,25
5,Work Related,1426
6,Accompany Someone,93
6,Buy Something,183
6,Change Mode,26
6,Education,104
6,Other Purpose,13
6,Personal Business,310
6,Pick-up or Deliver Something,26
6,Pick-up or Drop-off Someone,322
6,Recreational,587
6,Social,182
6,Unknown Purpose,42
6,Work Related,3404
7,Accompany Someone,450
7,At or Go Home,1
7,Buy Something,515
7,Change Mode,46
7,Education,1307
7,Other Purpose,41
7,Personal Business,606
7,Pick-up or Deliver Something,98
7,Pick-up or Drop-off Someone,1509
7,Recreational,841
7,Social,482
7,Unknown Purpose,83
7,Work Related,5856
8,Accompany Someone,1673
8,At or Go Home,1
8,Buy Something,1376
8,Change Mode,49
8,Education,5222
8,Other Purpose,58
8,Personal Business,1175
8,Pick-up or Deliver Something,209
8,Pick-up or Drop-off Someone,4726
8,Recreational,1122
8,Social,977
8,Unknown Purpose,39
8,Work Related,5751
9,Accompany Someone,1051
9,Buy Something,2664
9,Change Mode,66
9,Education,377
9,Other Purpose,92
9,Personal Business,1790
9,Pick-up or Deliver Something,329
9,Pick-up or Drop-off Someone,1201
9,Recreational,1415
9,Social,1777
9,Unknown Purpose,41
9,Work Related,2156
10,Accompany Someone,913
10,Buy Something,4290
10,Change Mode,125
10,Education,225
10,Not Stated,1
10,Other Purpose,86
10,Personal Business,1730
10,Pick-up or Deliver Something,535
10,Pick-up or Drop-off Someone,625
10,Recreational,1432
10,Social,2395
10,Unknown Purpose,47
10,Work Related,1500
11,Accompany Someone,915
11,At or Go Home,4
11,Buy Something,4758
11,Change Mode,202
11,Education,196
11,Other Purpose,112
11,Personal Business,1602
11,Pick-up or Deliver Something,491
11,Pick-up or Drop-off Someone,648
11,Recreational,1256
11,Social,2949
11,Unknown Purpose,45
11,Work Related,1257
12,Accompany Someone,725
12,At or Go Home,1
12,Buy Something,3750
12,Change Mode,268
12,Education,226
12,Other Purpose,84
12,Personal Business,1150
12,Pick-up or Deliver Something,368
12,Pick-up or Drop-off Someone,666
12,Recreational,936
12,Social,3506
12,Unknown Purpose,31
12,Work Related,1761
13,Accompany Someone,625
13,At or Go Home,3
13,Buy Something,3281
13,Change Mode,276
13,Education,218
13,Other Purpose,85
13,Personal Business,1077
13,Pick-up or Deliver Something,330
13,Pick-up or Drop-off Someone,564
13,Recreational,858
13,Social,2614
13,Unknown Purpose,16
13,Work Related,1840
14,Accompany Someone,765
14,At or Go Home,2
14,Buy Something,3227
14,Change Mode,443
14,Education,224
14,Other Purpose,102
14,Personal Business,1114
14,Pick-up or Deliver Something,350
14,Pick-up or Drop-off Someone,1156
14,Recreational,961
14,Social,2178
14,Unknown Purpose,26
14,Work Related,1792
15,Accompany Someone,1563
15,At or Go Home,6
15,Buy Something,3202
15,Change Mode,1406
15,Education,3508
15,Other Purpose,69
15,Personal Business,1377
15,Pick-up or Deliver Something,398
15,Pick-up or Drop-off Someone,4279
15,Recreational,1230
15,Social,2215
15,Unknown Purpose,34
15,Work Related,2479
16,Accompany Someone,983
16,At or Go Home,2
16,Buy Something,2951
16,Change Mode,1071
16,Education,469
16,Other Purpose,66
16,Personal Business,1496
16,Pick-up or Deliver Something,386
16,Pick-up or Drop-off Someone,1898
16,Recreational,1658
16,Social,2174
16,Unknown Purpose,32
16,Work Related,3258
17,Accompany Someone,876
17,At or Go Home,2
17,Buy Something,2266
17,Change Mode,1609
17,Education,380
17,Not Stated,1
17,Other Purpose,42
17,Personal Business,1476
17,Pick-up or Deliver Something,290
17,Pick-up or Drop-off Someone,1850
17,Recreational,1834
17,Social,2602
17,Unknown Purpose,19
17,Work Related,3901
18,Accompany Someone,492
18,At or Go Home,5
18,Buy Something,1651
18,Change Mode,608
18,Education,150
18,Not Stated,2
18,Other Purpose,45
18,Personal Business,1177
18,Pick-up or Deliver Something,163
18,Pick-up or Drop-off Someone,1106
18,Recreational,1677
18,Social,2684
18,Unknown Purpose,20
18,Work Related,1683
19,Accompany Someone,248
19,Buy Something,967
19,Change Mode,248
19,Education,56
19,Other Purpose,27
19,Personal Business,960
19,Pick-up or Deliver Something,95
19,Pick-up or Drop-off Someone,548
19,Recreational,1313
19,Social,1922
19,Unknown Purpose,13
19,Work Related,641
20,Accompany Someone,132
20,Buy Something,529
20,Change Mode,136
20,Education,57
20,Other Purpose,26
20,Personal Business,543
20,Pick-up or Deliver Something,87
20,Pick-up or Drop-off Someone,422
20,Recreational,718
20,Social,1456
20,Unknown Purpose,6
20,Work Related,413
21,Accompany Someone,78
21,At or Go Home,2
21,Buy Something,279
21,Change Mode,137
21,Education,38
21,Other Purpose,20
21,Personal Business,248
21,Pick-up or Deliver Something,44
21,Pick-up or Drop-off Someone,340
21,Recreational,303
21,Social,1227
21,Unknown Purpose,1
21,Work Related,417
22,Accompany Someone,49
22,At or Go Home,1
22,Buy Something,135
22,Change Mode,135
22,Education,11
22,Other Purpose,4
22,Personal Business,173
22,Pick-up or Deliver Something,23
22,Pick-up or Drop-off Someone,268
22,Recreational,133
22,Social,941
22,Unknown Purpose,2
22,Work Related,396
23,Accompany Someone,22
23,At or Go Home,1
23,Buy Something,26
23,Change Mode,85
23,Education,3
23,Not Stated,1
23,Other Purpose,7
23,Personal Business,61
23,Pick-up or Deliver Something,5
23,Pick-up or Drop-off Someone,140
23,Recreational,38
23,Social,476
23,Unknown Purpose,1
23,Work Related,235
24,Accompany Someone,3
24,Buy Something,3
24,Change Mode,8
24,Personal Business,11
24,Pick-up or Deliver Something,2
24,Pick-up or Drop-off Someone,23
24,Recreational,1
24,Social,67
24,Work Related,49
25,Accompany Someone,3
25,Change Mode,2
25,Education,1
25,Personal Business,7
25,Pick-up or Drop-off Someone,8
25,Social,30
25,Work Related,26
26,Accompany Someone,2
26,Education,1
26,Personal Business,3
26,Pick-up or Drop-off Someone,6
26,Social,23
26,Work Related,20
27,Change Mode,1
27,Personal Business,3
27,Pick-up or Drop-off Someone,4
27,Social,13
27,Work Related,9
28,Work Related,3
30,Work Related,1
