origLGA,starthour,TotalTrips
BANYULE,2,2
BANYULE,4,9
BANYULE,5,49
BANYULE,6,186
BANYULE,7,419
BANYULE,8,683
BANYULE,9,425
BANYULE,10,410
BANYULE,11,418
BANYULE,12,357
BANYULE,13,293
BANYULE,14,304
BANYULE,15,656
BANYULE,16,419
BANYULE,17,426
BANYULE,18,320
BANYULE,19,250
BANYULE,20,130
BANYULE,21,97
BANYULE,22,71
BANYULE,23,14
BANYULE,24,2
BANYULE,25,2
BANYULE,26,1
BANYULE,27,1
BAYSIDE,4,7
BAYSIDE,5,36
BAYSIDE,6,102
BAYSIDE,7,268
BAYSIDE,8,439
BAYSIDE,9,290
BAYSIDE,10,307
BAYSIDE,11,360
BAYSIDE,12,302
BAYSIDE,13,223
BAYSIDE,14,256
BAYSIDE,15,433
BAYSIDE,16,358
BAYSIDE,17,293
BAYSIDE,18,256
BAYSIDE,19,158
BAYSIDE,20,96
BAYSIDE,21,51
BAYSIDE,22,44
BAYSIDE,23,40
BAYSIDE,24,5
BAYSIDE,25,1
BOROONDARA,2,3
BOROONDARA,3,1
BOROONDARA,4,13
BOROONDARA,5,44
BOROONDARA,6,174
BOROONDARA,7,616
BOROONDARA,8,1141
BOROONDARA,9,694
BOROONDARA,10,767
BOROONDARA,11,726
BOROONDARA,12,615
BOROONDARA,13,535
BOROONDARA,14,543
BOROONDARA,15,1105
BOROONDARA,16,771
BOROONDARA,17,785
BOROONDARA,18,540
BOROONDARA,19,353
BOROONDARA,20,220
BOROONDARA,21,143
BOROONDARA,22,97
BOROONDARA,23,44
BOROONDARA,24,6
BOROONDARA,25,1
BOROONDARA,26,1
BRIMBANK,1,4
BRIMBANK,4,32
BRIMBANK,5,81
BRIMBANK,6,195
BRIMBANK,7,327
BRIMBANK,8,753
BRIMBANK,9,410
BRIMBANK,10,413
BRIMBANK,11,441
BRIMBANK,12,359
BRIMBANK,13,277
BRIMBANK,14,367
BRIMBANK,15,618
BRIMBANK,16,414
BRIMBANK,17,432
BRIMBANK,18,278
BRIMBANK,19,189
BRIMBANK,20,100
BRIMBANK,21,91
BRIMBANK,22,61
BRIMBANK,23,33
BRIMBANK,24,2
BRIMBANK,25,1
BRIMBANK,27,1
CARDINIA,1,1
CARDINIA,3,3
CARDINIA,4,23
CARDINIA,5,64
CARDINIA,6,88
CARDINIA,7,181
CARDINIA,8,387
CARDINIA,9,219
CARDINIA,10,202
CARDINIA,11,252
CARDINIA,12,144
CARDINIA,13,164
CARDINIA,14,167
CARDINIA,15,375
CARDINIA,16,239
CARDINIA,17,195
CARDINIA,18,141
CARDINIA,19,58
CARDINIA,20,56
CARDINIA,21,34
CARDINIA,22,27
CARDINIA,23,7
CARDINIA,24,3
CASEY,1,1
CASEY,3,1
CASEY,4,32
CASEY,5,180
CASEY,6,400
CASEY,7,607
CASEY,8,1267
CASEY,9,703
CASEY,10,744
CASEY,11,670
CASEY,12,597
CASEY,13,473
CASEY,14,576
CASEY,15,1109
CASEY,16,673
CASEY,17,660
CASEY,18,397
CASEY,19,348
CASEY,20,200
CASEY,21,183
CASEY,22,103
CASEY,23,29
CASEY,24,16
CASEY,25,6
CASEY,26,1
CASEY,27,1
DAREBIN,1,3
DAREBIN,2,1
DAREBIN,4,7
DAREBIN,5,51
DAREBIN,6,149
DAREBIN,7,359
DAREBIN,8,676
DAREBIN,9,357
DAREBIN,10,382
DAREBIN,11,401
DAREBIN,12,345
DAREBIN,13,378
DAREBIN,14,346
DAREBIN,15,548
DAREBIN,16,509
DAREBIN,17,468
DAREBIN,18,314
DAREBIN,19,225
DAREBIN,20,140
DAREBIN,21,103
DAREBIN,22,68
DAREBIN,23,35
DAREBIN,24,7
DAREBIN,25,3
DAREBIN,27,1
FRANKSTON,1,4
FRANKSTON,3,2
FRANKSTON,4,24
FRANKSTON,5,85
FRANKSTON,6,172
FRANKSTON,7,350
FRANKSTON,8,673
FRANKSTON,9,381
FRANKSTON,10,406
FRANKSTON,11,470
FRANKSTON,12,401
FRANKSTON,13,342
FRANKSTON,14,400
FRANKSTON,15,650
FRANKSTON,16,477
FRANKSTON,17,454
FRANKSTON,18,340
FRANKSTON,19,174
FRANKSTON,20,129
FRANKSTON,21,89
FRANKSTON,22,51
FRANKSTON,23,15
FRANKSTON,24,6
FRANKSTON,26,2
GLEN EIRA,1,6
GLEN EIRA,2,1
GLEN EIRA,4,9
GLEN EIRA,5,37
GLEN EIRA,6,136
GLEN EIRA,7,468
GLEN EIRA,8,759
GLEN EIRA,9,431
GLEN EIRA,10,473
GLEN EIRA,11,455
GLEN EIRA,12,343
GLEN EIRA,13,305
GLEN EIRA,14,342
GLEN EIRA,15,622
GLEN EIRA,16,441
GLEN EIRA,17,482
GLEN EIRA,18,370
GLEN EIRA,19,211
GLEN EIRA,20,149
GLEN EIRA,21,106
GLEN EIRA,22,55
GLEN EIRA,23,28
GLEN EIRA,24,1
GLEN EIRA,25,6
GLEN EIRA,26,2
GOLDEN PLAINS,8,1
GOLDEN PLAINS,9,1
GOLDEN PLAINS,10,6
GOLDEN PLAINS,11,1
GOLDEN PLAINS,12,2
GOLDEN PLAINS,13,3
GOLDEN PLAINS,14,2
GOLDEN PLAINS,15,2
GOLDEN PLAINS,16,8
GOLDEN PLAINS,17,2
GOLDEN PLAINS,18,4
GOLDEN PLAINS,19,4
GOLDEN PLAINS,23,2
GREATER DANDENONG,1,2
GREATER DANDENONG,2,3
GREATER DANDENONG,3,1
GREATER DANDENONG,4,12
GREATER DANDENONG,5,59
GREATER DANDENONG,6,145
GREATER DANDENONG,7,243
GREATER DANDENONG,8,597
GREATER DANDENONG,9,306
GREATER DANDENONG,10,360
GREATER DANDENONG,11,346
GREATER DANDENONG,12,375
GREATER DANDENONG,13,357
GREATER DANDENONG,14,391
GREATER DANDENONG,15,717
GREATER DANDENONG,16,492
GREATER DANDENONG,17,481
GREATER DANDENONG,18,274
GREATER DANDENONG,19,152
GREATER DANDENONG,20,110
GREATER DANDENONG,21,82
GREATER DANDENONG,22,66
GREATER DANDENONG,23,41
GREATER DANDENONG,24,6
GREATER DANDENONG,26,1
GREATER DANDENONG,27,1
GREATER DANDENONG,28,1
GREATER GEELONG,1,4
GREATER GEELONG,2,3
GREATER GEELONG,3,1
GREATER GEELONG,4,29
GREATER GEELONG,5,120
GREATER GEELONG,6,238
GREATER GEELONG,7,531
GREATER GEELONG,8,1172
GREATER GEELONG,9,737
GREATER GEELONG,10,824
GREATER GEELONG,11,830
GREATER GEELONG,12,722
GREATER GEELONG,13,581
GREATER GEELONG,14,611
GREATER GEELONG,15,1087
GREATER GEELONG,16,776
GREATER GEELONG,17,837
GREATER GEELONG,18,478
GREATER GEELONG,19,292
GREATER GEELONG,20,185
GREATER GEELONG,21,112
GREATER GEELONG,22,128
GREATER GEELONG,23,28
GREATER GEELONG,24,1
GREATER GEELONG,25,1
GREATER GEELONG,26,3
HOBSONS BAY,1,2
HOBSONS BAY,3,2
HOBSONS BAY,4,6
HOBSONS BAY,5,49
HOBSONS BAY,6,137
HOBSONS BAY,7,267
HOBSONS BAY,8,427
HOBSONS BAY,9,236
HOBSONS BAY,10,304
HOBSONS BAY,11,297
HOBSONS BAY,12,245
HOBSONS BAY,13,181
HOBSONS BAY,14,223
HOBSONS BAY,15,422
HOBSONS BAY,16,300
HOBSONS BAY,17,276
HOBSONS BAY,18,214
HOBSONS BAY,19,139
HOBSONS BAY,20,75
HOBSONS BAY,21,55
HOBSONS BAY,22,31
HOBSONS BAY,23,30
HOBSONS BAY,24,6
HOBSONS BAY,25,1
HOBSONS BAY,27,2
HOBSONS BAY,28,1
HUME,1,7
HUME,2,1
HUME,3,2
HUME,4,31
HUME,5,96
HUME,6,215
HUME,7,341
HUME,8,726
HUME,9,354
HUME,10,340
HUME,11,347
HUME,12,349
HUME,13,289
HUME,14,402
HUME,15,731
HUME,16,450
HUME,17,452
HUME,18,305
HUME,19,229
HUME,20,163
HUME,21,116
HUME,22,72
HUME,23,52
HUME,24,8
HUME,25,5
HUME,26,1
KINGSTON,1,1
KINGSTON,2,1
KINGSTON,4,12
KINGSTON,5,68
KINGSTON,6,201
KINGSTON,7,434
KINGSTON,8,807
KINGSTON,9,471
KINGSTON,10,508
KINGSTON,11,547
KINGSTON,12,512
KINGSTON,13,397
KINGSTON,14,531
KINGSTON,15,819
KINGSTON,16,624
KINGSTON,17,641
KINGSTON,18,354
KINGSTON,19,254
KINGSTON,20,151
KINGSTON,21,82
KINGSTON,22,89
KINGSTON,23,43
KINGSTON,24,2
KINGSTON,25,5
KNOX,2,1
KNOX,4,21
KNOX,5,91
KNOX,6,211
KNOX,7,472
KNOX,8,774
KNOX,9,507
KNOX,10,459
KNOX,11,415
KNOX,12,418
KNOX,13,380
KNOX,14,396
KNOX,15,802
KNOX,16,596
KNOX,17,526
KNOX,18,420
KNOX,19,262
KNOX,20,191
KNOX,21,168
KNOX,22,67
KNOX,23,43
KNOX,24,1
KNOX,25,2
KNOX,26,1
KNOX ©,16,1
MACEDON RANGES,7,2
MACEDON RANGES,8,2
MACEDON RANGES,9,3
MACEDON RANGES,10,8
MACEDON RANGES,11,11
MACEDON RANGES,12,10
MACEDON RANGES,13,10
MACEDON RANGES,14,9
MACEDON RANGES,15,23
MACEDON RANGES,16,18
MACEDON RANGES,17,14
MACEDON RANGES,18,1
MACEDON RANGES,19,9
MACEDON RANGES,20,5
