orig_upper,traffic_volume,avg_commute_time
BANYULE,170,52.47058824
BAYSIDE,101,46.47524752
BOROONDARA,370,40.15135135
BRIMBANK,178,46.51685393
CARDINIA,24,88.29166667
CASEY,117,81.86324786
DAREBIN,229,46.29694323
FRANKSTON,43,87.27906977
GLEN EIRA,213,43.72769953
GREATER DANDENONG,67,65
GREATER GEELONG,64,89.9375
HOBSONS BAY,145,43.27586207
HUME,128,56.3828125
KINGSTON,137,59.3649635
KNOX,109,69.62385321
MANNINGHAM,153,52.86928105
MARIBYRNONG,174,36.40804598
MAROONDAH,89,63.74157303
MELTON,96,58.16666667
MONASH,258,54.09689922
MOONEE VALLEY,259,34.45559846
MORELAND,358,36.74022346
MORNINGTON PENINSULA,34,89.76470588
NILLUMBIK,72,68.625
PORT PHILLIP,259,28.59459459
STONNINGTON,265,31.33962264
WHITEHORSE,274,51.82116788
WHITTLESEA,110,68.13636364
WYNDHAM,190,61.49473684
YARRA,300,27.65
YARRA RANGES,51,80.52941176
