origLGA,cumdist,travtime
BOROONDARA,2.69,25
BOROONDARA,5.36,46
MELBOURNE,1.8,4
MELBOURNE,1.8,5
MELBOURNE,24.8,55
MELBOURNE,24.8,55
MELBOURNE,30.55,63
KNOX,31.97,35
MELBOURNE,28.35,53
BOROONDARA,12.28,65
MELBOURNE,27.59,84
MELBOURNE,22.23,45
MELBOURNE,28.81,55
MONASH,9.83,17
MELBOURNE,22.34,30
MELBOURNE,21.99,60
MELBOURNE,33.21,55
YARRA RANGES,103.73,155
MELBOURNE,19.62,50
MELBOURNE,25.05,79
MELBOURNE,21.94,40
MELBOURNE,2.49,20
MELBOURNE,17.63,45
MELBOURNE,13.11,62
MELBOURNE,23.72,40
MONASH,25.07,65
MELBOURNE,9.62,15
MELBOURNE,0.24,5
MELBOURNE,7.71,25
KNOX,9.4,25
MONASH,11.58,20
MELBOURNE,0.12,2
MELBOURNE,34.75,74
MELBOURNE,32.45,60
MELBOURNE,32.45,60
KNOX,14.71,25
KNOX,3.51,10
KNOX,3.51,10
KNOX,9.41,30
KNOX,7.18,15
MELBOURNE,27.43,30
MONASH,17.66,35
MELBOURNE,0.24,2
MELBOURNE,0.24,2
MELBOURNE,23.53,75
MONASH,11.94,30
MONASH,6.52,15
MELBOURNE,4.58,20
MELBOURNE,4.58,20
BOROONDARA,1.01,15
KNOX,12.22,25
MONASH,1.34,10
YARRA RANGES,9.2,29
BOROONDARA,2.75,13
KNOX,15.25,35
KNOX,12.75,15
KNOX,12.75,15
YARRA RANGES,5.54,30
BOROONDARA,5.73,15
BOROONDARA,5.73,15
BOROONDARA,3.38,20
BOROONDARA,3.38,20
KNOX,14.12,30
KNOX,14.12,30
BOROONDARA,6.27,15
BOROONDARA,9.14,50
BOROONDARA,9.14,50
BOROONDARA,6.52,15
BOROONDARA,8.57,25
BOROONDARA,8.57,25
MONASH,25.22,30
MONASH,4.34,11
MONASH,8.56,24
MONASH,13.11,35
MONASH,13.11,35
YARRA RANGES,19.87,45
BOROONDARA,2.33,10
YARRA RANGES,2.23,5
KNOX,10.32,30
YARRA RANGES,6.78,20
YARRA RANGES,6.78,20
MONASH,1.53,10
MONASH,1.53,10
MELBOURNE,0.11,2
MELBOURNE,7.09,30
MELBOURNE,20.53,60
MELBOURNE,17.16,30
MELBOURNE,17.16,30
MELBOURNE,72.99,78
MELBOURNE,25.93,60
MONASH,29.84,45
BOROONDARA,43.14,80
MELBOURNE,47.69,80
MELBOURNE,46.5,60
MELBOURNE,13.55,30
MELBOURNE,13.55,30
KNOX,7.8,20
MONASH,4.7,10
KNOX,7.8,20
MONASH,4.7,10
KNOX,7.8,20
MONASH,4.7,10
MONASH,1.32,5
MONASH,6.73,20
BOROONDARA,24.07,72
MELBOURNE,0.93,30
MELBOURNE,0.93,15
MELBOURNE,16.99,55
MELBOURNE,17.37,52
BOROONDARA,6.74,15
BOROONDARA,6.74,15
BOROONDARA,6.74,15
BOROONDARA,6.74,15
MONASH,3.24,20
MONASH,0.77,18
MONASH,0.77,20
MONASH,3.24,5
MONASH,5.61,15
MONASH,7.74,15
MELBOURNE,14.16,30
MONASH,1.94,15
MONASH,1.94,15
MONASH,21.94,45
MONASH,6.59,20
MONASH,6.59,29
MONASH,2.15,15
MONASH,6.88,15
MONASH,5.43,20
MONASH,6.59,25
MONASH,8.02,20
MONASH,8.02,15
MONASH,15.15,48
MELBOURNE,0.62,15
MELBOURNE,0.62,10
MELBOURNE,15.15,50
MONASH,6.59,20
MONASH,6.59,25
MONASH,14.18,35
MELBOURNE,14.18,45
MONASH,14.31,45
MELBOURNE,0.26,3
MELBOURNE,0.26,3
MELBOURNE,14.31,45
MONASH,18.65,30
KNOX,18.65,30
MONASH,6.61,17
MONASH,6.61,25
MONASH,6.61,17
MONASH,6.61,25
MONASH,3.87,15
MONASH,0.43,50
MONASH,1.93,5
MONASH,1.93,5
MONASH,0.48,1
MONASH,0.48,3
MONASH,2.98,5
MONASH,15.05,30
MELBOURNE,15.05,30
MONASH,14.56,37
MONASH,0.66,20
MONASH,0.66,20
MONASH,14.34,60
MELBOURNE,0.75,85
MELBOURNE,6.48,15
MELBOURNE,0.55,5
MELBOURNE,0.55,10
MELBOURNE,9.65,45
MELBOURNE,0.97,10
MELBOURNE,0.97,15
MELBOURNE,6.72,30
MELBOURNE,8,30
MELBOURNE,8,35
MELBOURNE,8,35
MELBOURNE,3.87,20
MELBOURNE,0.42,5
MELBOURNE,0.45,2
MELBOURNE,0.76,10
MELBOURNE,3.63,15
MELBOURNE,0.3,5
MELBOURNE,3.9,20
MELBOURNE,0.14,5
MELBOURNE,0.14,5
MELBOURNE,0.9,15
MELBOURNE,4.85,25
MELBOURNE,0.9,10
MELBOURNE,0.9,10
MELBOURNE,3.98,15
MELBOURNE,3.98,10
MELBOURNE,0.16,5
MELBOURNE,0.16,5
MELBOURNE,3.22,30
MELBOURNE,0.26,5
MELBOURNE,0.26,5
MELBOURNE,0.07,2
MELBOURNE,0.22,5
MELBOURNE,3.25,40
MELBOURNE,0.27,5
MELBOURNE,0.27,5
MELBOURNE,11.26,43
MELBOURNE,0.29,2
MELBOURNE,0.29,2
MELBOURNE,3.78,45
MELBOURNE,0.27,5
MELBOURNE,0.27,5
MELBOURNE,0.42,5
MELBOURNE,9.98,20
MELBOURNE,0.52,5
MELBOURNE,0.52,5
MELBOURNE,4.33,15
MELBOURNE,0.68,10
MELBOURNE,4.81,15
MELBOURNE,4.33,15
MELBOURNE,4.64,34
MELBOURNE,13.98,30
MELBOURNE,0.37,8
MELBOURNE,0.37,8
MELBOURNE,5,35
MELBOURNE,5,39
MELBOURNE,0.33,10
MELBOURNE,0.33,10
MELBOURNE,4.85,30
MELBOURNE,4.85,40
MELBOURNE,3.7,10
MELBOURNE,3.7,10
MELBOURNE,0.3,7
MELBOURNE,0.3,5
MELBOURNE,17.74,50
MELBOURNE,0.47,5
MELBOURNE,0.11,5
MELBOURNE,0.58,10
MELBOURNE,0.44,3
MELBOURNE,0.44,3
MELBOURNE,17.74,50
MELBOURNE,86.11,91
MELBOURNE,23.41,25
MELBOURNE,24.36,45
MELBOURNE,4.21,34
MELBOURNE,28.5,60
MELBOURNE,22.59,60
MELBOURNE,28.01,69
MELBOURNE,27.36,47
MELBOURNE,27.38,53
MELBOURNE,23.26,60
MELBOURNE,29.09,56
MELBOURNE,49.77,82
BOROONDARA,56.01,92
MONASH,26.65,30
BOROONDARA,4.23,16
BOROONDARA,22.98,110
BOROONDARA,1.52,5
BOROONDARA,1.52,8
BOROONDARA,1.52,5
BOROONDARA,1.52,30
BOROONDARA,1.52,5
BOROONDARA,1.52,30
BOROONDARA,7.33,25
BOROONDARA,1.34,5
BOROONDARA,6.02,30
BOROONDARA,7.33,25
BOROONDARA,1.34,5
BOROONDARA,6.02,30
BOROONDARA,3.47,13
BOROONDARA,3.47,15
BOROONDARA,9.85,20
BOROONDARA,3.47,13
BOROONDARA,9.02,41
BOROONDARA,3.47,15
BOROONDARA,7.01,18
BOROONDARA,4.39,20
BOROONDARA,1.76,20
BOROONDARA,9.85,20
BOROONDARA,7.5,20
BOROONDARA,5.25,15
BOROONDARA,3.82,10
BOROONDARA,3.82,10
BOROONDARA,5.25,15
BOROONDARA,3.82,10
BOROONDARA,0.89,5
BOROONDARA,0.89,5
BOROONDARA,2.01,15
BOROONDARA,2.01,15
BOROONDARA,3.58,5
BOROONDARA,3.45,15
BOROONDARA,0.24,1
BOROONDARA,0.24,5
BOROONDARA,0.76,3
BOROONDARA,0.89,5
BOROONDARA,2.01,15
BOROONDARA,2.01,15
BOROONDARA,3.58,5
BOROONDARA,3.45,15
BOROONDARA,0.24,1
BOROONDARA,0.24,5
BOROONDARA,0.76,3
BOROONDARA,0.89,5
BOROONDARA,2.01,15
BOROONDARA,2.01,15
BOROONDARA,3.58,5
BOROONDARA,3.45,15
BOROONDARA,0.24,1
BOROONDARA,14.77,40
MELBOURNE,15.68,60
BOROONDARA,1.66,20
BOROONDARA,1.66,20
BOROONDARA,5.13,15
BOROONDARA,7.34,15
BOROONDARA,5.13,10
BOROONDARA,1.16,5
BOROONDARA,4.03,5
BOROONDARA,1.66,20
BOROONDARA,1.66,20
BOROONDARA,3.67,27
BOROONDARA,1.33,15
BOROONDARA,4.03,5
BOROONDARA,5.13,15
BOROONDARA,1.16,5
BOROONDARA,4.03,5
BOROONDARA,5.13,15
BOROONDARA,1.16,5
BOROONDARA,4.03,5
BOROONDARA,5.15,10
BOROONDARA,5.15,10
BOROONDARA,1.33,8
BOROONDARA,1.33,5
BOROONDARA,12.15,38
MELBOURNE,12.15,20
BOROONDARA,1.33,8
BOROONDARA,1.33,5
MELBOURNE,17.82,45
MELBOURNE,2.67,20
MELBOURNE,22.1,66
MELBOURNE,22.1,66
MELBOURNE,19.71,58
MELBOURNE,22,45
MONASH,16.38,30
MONASH,16.38,30
MONASH,16.38,30
BOROONDARA,16.86,45
MELBOURNE,18.14,60
MELBOURNE,0.38,20
MELBOURNE,0.59,10
MELBOURNE,0.33,10
MELBOURNE,1.49,15
MELBOURNE,20.44,75
BOROONDARA,10.28,20
BOROONDARA,5.05,15
MELBOURNE,1.42,20
MELBOURNE,20.4,49
MELBOURNE,16.42,20
MELBOURNE,16.42,20
MELBOURNE,16.42,20
MONASH,19.85,35
MELBOURNE,111.84,202
MELBOURNE,9.3,40
BOROONDARA,12.06,25
BOROONDARA,11.25,25
MELBOURNE,5.35,15
MELBOURNE,5.35,15
MELBOURNE,5.35,15
MELBOURNE,11.78,37
MELBOURNE,8.23,30
MELBOURNE,10.64,48
MONASH,11.48,15
KNOX,7.88,20
MONASH,31.34,60
MONASH,1.7,10
MONASH,1.7,5
MONASH,4.3,20
MONASH,4.3,20
MONASH,1.7,5
MONASH,1.7,5
MONASH,1.45,5
MONASH,1.45,5
MONASH,5.23,20
MONASH,0.9,10
MONASH,0.9,10
MONASH,5.23,25
MONASH,1.45,20
MONASH,1.45,5
MONASH,1.7,10
MONASH,1.7,5
MONASH,1.45,5
MONASH,1.45,5
MONASH,0.51,15
MONASH,0.51,15
MONASH,2.23,5
MONASH,2.23,10
MONASH,24.29,50
MELBOURNE,25.14,51
MONASH,2.31,30
MONASH,2.31,30
MONASH,1.34,5
MONASH,1.34,5
MONASH,1.51,10
MONASH,1.51,8
MONASH,2.79,10
MONASH,25.43,270
MELBOURNE,26.82,30
MONASH,12.19,30
KNOX,12.19,30
MONASH,1.11,5
MONASH,1.11,5
MONASH,8.44,15
MONASH,8.44,15
MONASH,0.85,10
MONASH,0.85,10
MONASH,0.85,10
MONASH,0.85,10
MONASH,0.85,10
MONASH,0.85,10
MONASH,8.34,30
MONASH,8.34,30
MONASH,1.38,12
MONASH,1.38,8
MONASH,1.51,10
MONASH,1.51,10
MONASH,1.2,10
MONASH,1.2,10
MONASH,1.2,10
MONASH,1.2,10
MONASH,0.54,5
MONASH,0.54,5
MONASH,0.92,15
MONASH,0.92,15
MONASH,1.1,15
MONASH,1.1,15
MONASH,22.9,25
MONASH,5,10
MONASH,5,10
MONASH,1.79,20
MONASH,1.79,20
MONASH,29.01,65
MELBOURNE,25.02,65
MONASH,5,10
MONASH,3.88,15
MONASH,3.88,15
MONASH,15.2,60
MONASH,1.02,10
MONASH,1.02,10
MONASH,11.84,50
MONASH,11.84,50
MONASH,5.09,30
MONASH,5.09,15
MONASH,28.32,15
YARRA RANGES,4.18,15
YARRA RANGES,4.29,15
MONASH,13.4,30
MONASH,2.44,5
MONASH,0.84,15
MONASH,0.84,15
MONASH,3.48,10
MONASH,4.07,10
MONASH,7.53,30
MONASH,0.48,5
MONASH,16.5,30
BOROONDARA,16.79,20
MONASH,0.89,7
MONASH,7.4,10
MONASH,7.4,5
MONASH,6.98,20
MONASH,6.98,30
MONASH,7.53,20
MONASH,18.79,30
MONASH,7.53,20
MONASH,42.47,90
MELBOURNE,0.16,5
MELBOURNE,0.16,5
MELBOURNE,1.47,10
MELBOURNE,71.18,80
MONASH,96.57,120
MELBOURNE,5.55,22
MELBOURNE,5.78,60
MELBOURNE,0.22,5
MELBOURNE,0.22,5
MELBOURNE,4,15
MELBOURNE,2.86,15
MELBOURNE,2.93,10
MELBOURNE,7.79,45
MELBOURNE,7.89,40
MELBOURNE,7.9,40
MELBOURNE,7.02,41
MELBOURNE,3.04,20
BOROONDARA,7.96,45
MELBOURNE,5.47,30
MELBOURNE,9.32,60
MELBOURNE,5.99,25
MELBOURNE,2.71,30
MELBOURNE,7.44,43
MELBOURNE,16.88,45
MONASH,11.79,30
MELBOURNE,2.17,25
MELBOURNE,2.45,15
MELBOURNE,5.5,25
MELBOURNE,5.05,20
MELBOURNE,27.75,30
MELBOURNE,32.27,58
MELBOURNE,34.29,79
MELBOURNE,27.33,35
YARRA RANGES,1.71,5
YARRA RANGES,2.73,10
YARRA RANGES,4.44,15
YARRA RANGES,59.39,70
MELBOURNE,32.25,110
MELBOURNE,32.25,110
MELBOURNE,30.97,65
MELBOURNE,33.26,47
MELBOURNE,30.98,54
YARRA RANGES,2.25,5
YARRA RANGES,4.27,15
KNOX,5.19,7
KNOX,5.19,7
BOROONDARA,1.23,5
BOROONDARA,4,10
KNOX,6.88,14
KNOX,6.88,14
KNOX,3.28,10
YARRA RANGES,1.25,5
YARRA RANGES,3.91,10
BOROONDARA,1.21,10
BOROONDARA,2.03,3
BOROONDARA,2.03,3
MONASH,1.13,10
MONASH,2.72,15
KNOX,2.78,10
KNOX,2.78,10
KNOX,1.91,12
KNOX,11.13,25
KNOX,11.13,25
KNOX,1.95,10
KNOX,1.95,10
KNOX,1.59,10
KNOX,1.59,10
KNOX,7.17,15
KNOX,2.38,10
BOROONDARA,3.04,10
BOROONDARA,3.04,20
MONASH,8.75,20
YARRA RANGES,6.9,15
YARRA RANGES,6.9,15
YARRA RANGES,6.9,15
MONASH,3.52,10
MONASH,3.52,10
MONASH,7.4,25
MONASH,8.4,30
MONASH,1.83,8
BOROONDARA,3.23,11
KNOX,2.33,5
KNOX,7.69,12
MONASH,1.38,5
YARRA RANGES,2.69,15
YARRA RANGES,2.69,15
YARRA RANGES,2.69,15
YARRA RANGES,2.69,15
BOROONDARA,2.28,10
YARRA RANGES,5.09,15
BOROONDARA,0.46,3
YARRA RANGES,4.98,10
YARRA RANGES,4.98,10
YARRA RANGES,5.43,15
YARRA RANGES,4.73,10
YARRA RANGES,17.29,53
MELBOURNE,5.92,30
MELBOURNE,5.92,30
MONASH,2.5,5
MONASH,2.5,5
MONASH,1.35,3
MONASH,3.02,17
MONASH,2.97,20
MONASH,0.82,5
BOROONDARA,3.95,15
KNOX,9.25,25
KNOX,9.25,25
KNOX,8.36,20
KNOX,8.36,20
MONASH,3.6,5
MONASH,3.6,5
MONASH,38.9,50
MELBOURNE,50.45,75
MELBOURNE,54.43,94
MONASH,21.14,70
MELBOURNE,4.94,25
KNOX,35.35,30
KNOX,1.75,5
KNOX,3.85,6
KNOX,5.11,15
KNOX,20.37,45
KNOX,1.75,5
KNOX,3.85,6
KNOX,5.11,15
KNOX,20.37,45
YARRA RANGES,30.85,25
YARRA RANGES,55.56,60
KNOX,9.73,30
KNOX,25.5,45
KNOX,23.65,20
YARRA RANGES,9.58,30
KNOX,9.58,25
YARRA RANGES,9.58,30
KNOX,9.58,25
YARRA RANGES,1.88,5
YARRA RANGES,1.88,5
YARRA RANGES,49.58,68
MELBOURNE,49.58,75
YARRA RANGES,1.88,5
YARRA RANGES,1.88,5
YARRA RANGES,8.99,30
YARRA RANGES,14.28,30
KNOX,13.59,45
YARRA RANGES,50.23,90
YARRA RANGES,3.48,10
YARRA RANGES,3.48,10
YARRA RANGES,50.23,90
YARRA RANGES,9.91,15
KNOX,18.52,20
YARRA RANGES,1.24,15
YARRA RANGES,1.24,15
YARRA RANGES,14.96,25
KNOX,14.96,20
YARRA RANGES,3.28,5
YARRA RANGES,3.28,5
YARRA RANGES,14.96,25
KNOX,14.96,20
YARRA RANGES,17.77,20
YARRA RANGES,12.2,30
YARRA RANGES,12.2,30
YARRA RANGES,12.2,30
YARRA RANGES,12.2,30
YARRA RANGES,12.2,30
YARRA RANGES,12.2,30
YARRA RANGES,5.1,8
YARRA RANGES,5.1,15
YARRA RANGES,3.1,12
YARRA RANGES,3.1,7
YARRA RANGES,7.61,15
YARRA RANGES,3.1,12
YARRA RANGES,3.1,7
YARRA RANGES,7.61,15
YARRA RANGES,20.93,50
YARRA RANGES,20.93,40
YARRA RANGES,14.02,20
KNOX,2.39,9
KNOX,0.88,10
KNOX,96.03,60
KNOX,2.39,6
KNOX,14.02,25
MELBOURNE,3.88,15
BOROONDARA,41.43,70
MONASH,30.67,52
MELBOURNE,46.24,110
MELBOURNE,6.56,30
BOROONDARA,4.4,20
BOROONDARA,4.4,25
BOROONDARA,16.47,60
MELBOURNE,10.91,60
MELBOURNE,29.84,84
MELBOURNE,31.7,80
MELBOURNE,2.78,20
MELBOURNE,2.78,15
MELBOURNE,35.76,75
MELBOURNE,90.25,85
MELBOURNE,32.93,90
MELBOURNE,30.95,45
MONASH,6.54,12
MONASH,6.54,12
MONASH,7.25,15
MONASH,2.91,10
MONASH,35.67,65
MONASH,8.34,15
MONASH,21.07,60
MONASH,1.69,10
MONASH,1.69,5
MONASH,2.39,10
MONASH,13.49,25
MONASH,1.63,5
MONASH,5.58,22
MONASH,4.19,15
MONASH,2.83,9
MONASH,4.19,20
MONASH,4.19,25
MONASH,3.18,15
MONASH,18.01,40
MONASH,2.83,9
MONASH,1.63,15
MONASH,1.63,5
MONASH,0.92,10
MONASH,0.92,10
MONASH,3.18,15
MONASH,1.63,5
MONASH,1.63,5
MONASH,0.92,10
MONASH,0.92,10
MONASH,3.18,15
MONASH,1.63,5
MONASH,1.63,5
MONASH,0.92,10
MONASH,0.92,10
MONASH,3.18,15
MONASH,8.47,20
MONASH,8.47,15
MONASH,8.47,20
MONASH,8.47,20
MONASH,8.47,20
MONASH,8.47,20
MONASH,1.41,5
MONASH,2.09,10
MONASH,3.24,5
MONASH,10.39,30
MONASH,4.3,15
MONASH,2.68,5
MONASH,6.7,15
MONASH,4.3,15
MONASH,4.22,75
MONASH,4.3,15
MONASH,2.68,5
MONASH,6.71,60
MONASH,11.93,20
MONASH,0.4,15
MONASH,0.4,15
MONASH,11.59,10
MONASH,0.99,5
MONASH,5.81,15
MONASH,3.55,19
MONASH,3.18,30
MONASH,1.16,20
MELBOURNE,4.25,27
MELBOURNE,3.9,32
MELBOURNE,0.97,10
MELBOURNE,0.97,10
MELBOURNE,0.96,15
MELBOURNE,0.96,15
MELBOURNE,1.61,8
MELBOURNE,1.61,12
MELBOURNE,11.38,20
MELBOURNE,8.22,30
MELBOURNE,1.41,5
MELBOURNE,1.61,8
MELBOURNE,9.77,35
MELBOURNE,3.81,35
MELBOURNE,0.12,12
MELBOURNE,3.55,17
