tripid,persid,hhid,stops,tripno,starthour,startime,arrhour,arrtime,triptime,travtime,waitime,duration,cumdist,origplace1,origplace2,origpurp1,origpurp2,destplace1,destplace2,destpurp1,destpurp2,origLGA,destLGA,trippurp,linkmode,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,wdtripwgt_LGA,wetripwgt_LGA
Y12H0000101P01T01,Y12H0000101P01,Y12H0000101,1,1,8,525,9,545,20,20,0,505,7.45,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Whittlesea (C),Whittlesea (C),Work Related,Vehicle Driver,7.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.36,
Y12H0000101P01T02,Y12H0000101P01,Y12H0000101,1,2,17,1050,17,1075,25,25,0,N/A,7.45,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Whittlesea (C),Whittlesea (C),Work Related,Vehicle Driver,7.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.36,
Y12H0000101P02T01,Y12H0000101P02,Y12H0000101,1,1,8,500,8,520,20,20,0,20,3.92,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Whittlesea (C),Whittlesea (C),Pick-up or Drop-off Someone,Vehicle Driver,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.69,
Y12H0000101P02T02,Y12H0000101P02,Y12H0000101,1,2,9,540,9,550,10,10,0,50,2.5,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Shops,Shopping Centre,Buy Something,Bought something,Whittlesea (C),Whittlesea (C),Buy Something,Vehicle Driver,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.69,
Y12H0000101P02T03,Y12H0000101P02,Y12H0000101,1,3,10,600,10,610,10,10,0,280,2.55,Shops,Shopping Centre,Buy Something,Bought something,Accommodation,Survey Home,At or Go Home,Go home,Whittlesea (C),Whittlesea (C),Buy Something,Vehicle Driver,2.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.69,
Y12H0000101P02T04,Y12H0000101P02,Y12H0000101,1,4,14,890,15,910,20,20,0,30,3.92,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Whittlesea (C),Whittlesea (C),Pick-up or Drop-off Someone,Vehicle Driver,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.69,
Y12H0000101P02T05,Y12H0000101P02,Y12H0000101,1,5,15,940,15,950,10,10,0,N/A,3.92,Place of Education,Primary School,Pick-up or Drop-off Someone,Someone picked-up or delivered,Accommodation,Survey Home,At or Go Home,Go home,Whittlesea (C),Whittlesea (C),Pick-up or Drop-off Someone,Vehicle Driver,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.69,
Y12H0000101P03T01,Y12H0000101P03,Y12H0000101,1,1,8,500,8,520,20,20,0,420,3.92,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Education,At school,Whittlesea (C),Whittlesea (C),Education,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110.61,
Y12H0000101P03T02,Y12H0000101P03,Y12H0000101,1,2,15,940,15,950,10,10,0,N/A,3.92,Place of Education,Primary School,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Whittlesea (C),Whittlesea (C),Education,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110.61,
Y12H0000101P04T01,Y12H0000101P04,Y12H0000101,1,1,8,500,8,520,20,20,0,420,3.92,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Education,At school,Whittlesea (C),Whittlesea (C),Education,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.17,
